year,iso, country_name,disaster subtype,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage  ('000 US$)
1900,JPN,Japan,Ash fall,1,30,,,,,
1901,JPN,Japan,Tsunami,1,18,,,,,
1901,TZA,"Tanzania, United Republic of",Ground movement,1,,,,,,
1902,SLV,El Salvador,Tsunami,1,185,,,,,
1902,GTM,Guatemala,Ash fall,2,7000,,,,,
1902,GTM,Guatemala,Ground movement,1,2000,,,,,
1902,JPN,Japan,Ash fall,1,125,,,,,
1902,MTQ,Martinique,Ash fall,1,30000,,,,,
1902,VCT,Saint Vincent and the Grenadines,Ash fall,1,1565,,,,,
1902,SUN,Soviet Union,Ground movement,1,4562,,,,,
1903,CAN,Canada,Rockfall,1,76,23,,,23,
1903,COM,Comoros (the),Ash fall,1,17,,,,,
1903,TUR,Turkey,Ground movement,1,6000,,,,,
1904,ECU,Ecuador,Ground movement,1,,,,,,
1905,CAN,Canada,Rockfall,1,18,18,,,18,
1905,IND,India,Ground movement,1,20000,,,,,
1905,ITA,Italy,Ground movement,1,2500,,,,,
1906,CHL,Chile,Ground movement,1,20000,,,,,100000
1906,CHN,China,Ground movement,1,1266,,,,,
1906,COL,Colombia,Ground movement,1,400,,,,,
1906,ECU,Ecuador,Ground movement,1,,,,,,
1906,SLV,El Salvador,Ground movement,1,,,,,,
1906,ETH,Ethiopia,Ground movement,1,,,,,,6750
1906,ITA,Italy,Ash fall,1,700,,,,,
1906,NIC,Nicaragua,Ground movement,1,1000,,,,,
1906,TWN,Taiwan (Province of China),Ground movement,2,7300,,,,,
1906,USA,United States of America (the),Ground movement,1,2000,,,,,524000
1907,CHN,China,Ground movement,1,12000,,,,,
1907,IDN,Indonesia,Tsunami,1,400,,,,,
1907,JAM,Jamaica,Ground movement,1,1200,,90000,,90000,30000
1907,JPN,Japan,Tsunami,1,41,,,,,
1907,SUN,Soviet Union,Ground movement,1,12000,,,,,
1908,CAN,Canada,Landslide,1,33,,,,,
1908,ITA,Italy,Ground movement,1,75000,,150000,,150000,116000
1908,ROU,Romania,Ground movement,1,,,,,,
1908,TZA,"Tanzania, United Republic of",Ground movement,1,,,,,,
1909,FRA,France,Ground movement,1,46,,,,,
1909,IDN,Indonesia,Ash fall,1,5500,,,,,
1909,IRN,Iran (Islamic Republic of),Ground movement,1,5000,,,,,
1909,MAR,Morocco,Ground movement,1,100,,,,,
1910,DZA,Algeria,Ground movement,1,12,,,,,
1910,CRI,Costa Rica,Ground movement,1,1750,,,,,
1910,TZA,"Tanzania, United Republic of",Ground movement,1,,,,,,
1911,PHL,Philippines (the),Ash fall,1,1335,199,,,199,
1912,ROU,Romania,Ground movement,1,,,,,,
1912,TUR,Turkey,Ground movement,1,923,1575,,,1575,
1913,ETH,Ethiopia,Ground movement,1,,,,,,
1913,PER,Peru,Ground movement,1,150,,,,,
1913,ROU,Romania,Ground movement,1,,,,,,
1913,TZA,"Tanzania, United Republic of",Ground movement,1,,,,,,
1914,ETH,Ethiopia,Ground movement,1,,,,,,
1914,IDN,Indonesia,Ground movement,1,20,20,,,20,
1914,JPN,Japan,Ash fall,1,140,,,,,20000
1914,JPN,Japan,Ground movement,1,94,,,,,
1914,JPN,Japan,Tsunami,1,35,,,,,
1915,HND,Honduras,Ground movement,1,,,,,,
1915,ITA,Italy,Ground movement,1,29980,,,,,60000
1915,USA,United States of America (the),Ground movement,1,6,,,,,1000
1916,ROU,Romania,Ground movement,1,,,,,,
1917,CHN,China,Ground movement,1,1800,,,,,
1917,GTM,Guatemala,Ground movement,1,2650,,,,,
