,Unnamed: 0,YEAR,COUNTRY,DISASTER_TYPE,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_DAMAGE_MILLIONS_DOLLARS
0,0,1900,Japan,Ash fall,30,,
1,1,1901,Japan,Tsunami,18,,
2,2,1901,"Tanzania, United Republic of",Ground movement,,,
3,3,1902,El Salvador,Tsunami,185,,
4,4,1902,Guatemala,Ash fall,7000,,
5,5,1902,Guatemala,Ground movement,2000,,
6,6,1902,Japan,Ash fall,125,,
7,7,1902,Martinique,Ash fall,30000,,
8,8,1902,Saint Vincent and the Grenadines,Ash fall,1565,,
9,9,1902,Soviet Union,Ground movement,4562,,
10,10,1903,Canada,Rockfall,76,23,
11,11,1903,Comoros (the),Ash fall,17,,
12,12,1903,Turkey,Ground movement,6000,,
13,13,1904,Ecuador,Ground movement,,,
14,14,1905,Canada,Rockfall,18,18,
15,15,1905,India,Ground movement,20000,,
16,16,1905,Italy,Ground movement,2500,,
17,17,1906,Chile,Ground movement,20000,,100
18,18,1906,China,Ground movement,1266,,
19,19,1906,Colombia,Ground movement,400,,
20,20,1906,Ecuador,Ground movement,,,
21,21,1906,El Salvador,Ground movement,,,
22,22,1906,Ethiopia,Ground movement,,,6.75
23,23,1906,Italy,Ash fall,700,,
24,24,1906,Nicaragua,Ground movement,1000,,
25,25,1906,Taiwan (Province of China),Ground movement,7300,,
26,26,1906,United States of America (the),Ground movement,2000,,524
27,27,1907,China,Ground movement,12000,,
28,28,1907,Indonesia,Tsunami,400,,
29,29,1907,Jamaica,Ground movement,1200,,30
30,30,1907,Japan,Tsunami,41,,
31,31,1907,Soviet Union,Ground movement,12000,,
32,32,1908,Canada,Landslide,33,,
33,33,1908,Italy,Ground movement,75000,,116
34,34,1908,Romania,Ground movement,,,
35,35,1908,"Tanzania, United Republic of",Ground movement,,,
36,36,1909,France,Ground movement,46,,
37,37,1909,Indonesia,Ash fall,5500,,
38,38,1909,Iran (Islamic Republic of),Ground movement,5000,,
39,39,1909,Morocco,Ground movement,100,,
40,40,1910,Algeria,Ground movement,12,,
41,41,1910,Costa Rica,Ground movement,1750,,
42,42,1910,"Tanzania, United Republic of",Ground movement,,,
43,43,1911,Philippines (the),Ash fall,1335,199,
44,44,1912,Romania,Ground movement,,,
45,45,1912,Turkey,Ground movement,923,1575,
46,46,1913,Ethiopia,Ground movement,,,
47,47,1913,Peru,Ground movement,150,,
48,48,1913,Romania,Ground movement,,,
49,49,1913,"Tanzania, United Republic of",Ground movement,,,
