ID,YEAR,COUNTRY,LATITUDE,LONGITUDE,DISASTER_TYPE,HOUSES_AFFECTED,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_DAMAGE_MILLIONS_DOLLARS
0,1900,Japan,36.4,138.53,volcano,0,25,0,0
1,1900,Japan,31.93,130.87,volcano,0,2,3,0
2,1900,Japan,37.62,140.28,volcano,0,72,10,0
3,1900,Ethiopia,8.158,39.13,volcano,0,0,0,0
4,1901,Indonesia,-7.93,112.308,volcano,0,0,0,0
5,1901,Vanuatu,-16.68,168.37,volcano,0,0,0,0
6,1902,Martinique,14.82,-61.17,volcano,0,23,0,0
7,1902,St. Vincent & the Grenadines,13.33,-61.18,volcano,0,1680,0,0
8,1902,Martinique,14.82,-61.17,volcano,0,28000,0,0
9,1902,Martinique,14.82,-61.17,volcano,0,0,0,0
10,1902,Japan,30.48,140.32,volcano,0,125,0,0
11,1902,Martinique,14.82,-61.17,volcano,0,1500,0,0
12,1902,Guatemala,14.756,-91.552,volcano,0,10000,0,0
13,1902,Indonesia,-7.542,110.442,volcano,0,16,45,0
14,1903,New Zealand,-38.12,176.5,volcano,0,4,0,0
15,1903,Comoros,-11.75,43.38,volcano,0,17,0,0
16,1904,Comoros,-11.75,43.38,volcano,0,1,0,0
17,1905,Italy,40.821,14.426,volcano,0,1,1,0
18,1905,Samoa,-13.612,-172.525,volcano,0,0,0,0
19,1906,Italy,40.821,14.426,volcano,0,350,300,0
20,1907,Tonga,-21.38,-175.65,volcano,0,0,0,0
21,1907,Ethiopia,12.88,40.57,volcano,0,0,0,0
22,1907,Indonesia,-8.53,122.775,volcano,0,1,0,0
23,1907,Samoa,-13.612,-172.525,volcano,0,0,0,0
24,1909,Cameroon,4.203,9.17,volcano,0,0,0,0
25,1909,Indonesia,-8.108,112.92,volcano,0,221,0,0
26,1910,New Zealand,-38.82,176,volcano,0,1,0,0
27,1910,Japan,42.53,140.83,volcano,0,1,0,0
28,1911,Philippines,14.002,120.993,volcano,543,1335,199,0
29,1911,Japan,36.4,138.53,volcano,60,1,0,0
30,1911,Japan,36.4,138.53,volcano,0,0,0,0
31,1911,Trinidad ,10,-61,volcano,0,0,0,0
32,1911,Indonesia,-8.108,112.92,volcano,0,0,0,0
33,1912,United States,58.27,-155.16,volcano,0,2,0,0
34,1912,"Congo, DRC",-1.408,29.2,volcano,0,20,0,0
35,1913,Mexico,19.514,-103.62,volcano,0,13,0,0
36,1913,Indonesia,3.67,125.5,volcano,0,138,0,0
37,1913,Japan,36.4,138.53,volcano,0,1,0,0
38,1913,Indonesia,-8.108,112.92,volcano,0,0,0,0
39,1913,Vanuatu,-16.25,168.12,volcano,0,21,0,0
40,1914,Japan,31.58,130.67,volcano,2268,63,112,19
41,1914,Papua New Guinea,-5.58,150.52,volcano,0,0,0,0
42,1914,New Zealand,-37.52,177.18,volcano,0,11,0,0
43,1914,Vanuatu,-15.4,167.83,volcano,0,100,0,0
44,1916,Ecuador,-1.467,-78.442,volcano,0,0,0,0
45,1916,Italy,38.789,15.213,volcano,0,0,0,0
46,1917,Tanzania,-2.751,35.902,volcano,0,0,0,0
47,1917,New Zealand,-38.12,176.5,volcano,0,2,3,0
48,1917,Chile,-41.326,-72.614,volcano,0,0,0,0
49,1917,El Salvador,13.736,-89.286,volcano,0,325,0,0
50,1918,Indonesia,3.138,125.491,volcano,0,0,0,0
51,1918,Iceland,63.63,-19.05,volcano,0,0,0,0
52,1919,Mexico,19.023,-98.622,volcano,0,0,0,0
53,1919,Indonesia,3.138,125.491,volcano,0,0,0,0
54,1919,Indonesia,-7.93,112.308,volcano,9000,5110,0,0
55,1919,Italy,38.789,15.213,volcano,10,4,0,0
56,1919,Japan,37.12,139.97,volcano,0,2,0,0
57,1919,United States,19.475,-155.608,volcano,0,0,0,0
58,1920,Indonesia,-7.542,110.442,volcano,0,33,0,0
59,1920,El Salvador,13.813,-89.633,volcano,0,0,0,0
60,1921,Japan,37.12,139.97,volcano,0,1,0,0
61,1923,Indonesia,-7.32,107.73,volcano,0,1,0,0
62,1923,Indonesia,-6.77,107.6,volcano,0,3,0,0
63,1923,Japan,31.93,130.87,volcano,0,1,0,0
64,1924,United States,19.425,-155.292,volcano,0,1,0,0
65,1926,Japan,43.42,142.68,volcano,5080,144,207,0
66,1927,Indonesia,-8.32,121.708,volcano,0,0,0,0
67,1927,Iceland,64.27,-16.65,volcano,0,1,0,0
68,1928,Greece,36.404,25.396,volcano,0,48,0,0
69,1928,Philippines,13.257,123.685,volcano,0,0,0,0
70,1928,Indonesia,-6.102,105.423,volcano,0,0,0,0
71,1928,Indonesia,-7.2,109.92,volcano,0,40,0,0
72,1928,Indonesia,-8.32,121.708,volcano,0,226,200,0
73,1928,Italy,37.734,15.004,volcano,0,5,0,0
74,1929,Chile,-41.326,-72.614,volcano,0,0,0,0
75,1929,Japan,42.07,140.68,volcano,0,2,4,0
76,1929,Italy,37.734,15.004,volcano,0,2,0,0
77,1929,Guatemala,14.756,-91.552,volcano,0,200,0,0
78,1930,Indonesia,-6.102,105.423,volcano,0,0,0,0
79,1930,Japan,36.4,138.53,volcano,0,6,0,0
80,1930,Italy,38.789,15.213,volcano,0,6,20,0
81,1930,Indonesia,-7.542,110.442,volcano,1109,1369,0,0
82,1931,Japan,36.4,138.53,volcano,0,3,0,0
83,1932,Guatemala,14.473,-90.88,volcano,0,0,0,0
84,1932,Indonesia,-7.542,110.442,volcano,0,0,0,0
85,1932,Japan,36.62,138.55,volcano,0,2,7,0
86,1933,Russia,49.12,154.508,volcano,0,2,0,0
87,1933,Japan,35.22,139.02,volcano,0,1,0,0
88,1933,Japan,30.43,130.22,volcano,0,8,26,0
89,1933,Philippines,12.77,124.05,volcano,0,9,0,0
90,1934,United States,45.374,-121.694,volcano,0,1,0,0
91,1936,Japan,36.4,138.53,volcano,0,2,0,0
92,1937,Chile,-38.692,-71.729,volcano,0,3,0,0
93,1937,Papua New Guinea,-4.271,152.203,volcano,0,507,0,0
94,1938,"Congo, DRC",-1.408,29.2,volcano,0,0,0,0
95,1938,Japan,37.6,140.08,volcano,0,2,0,0
96,1938,Philippines,13.257,123.685,volcano,0,0,0,0
97,1938,Japan,36.4,138.53,volcano,0,0,0,0
98,1939,Netherlands,12.3,-61.63,volcano,0,0,0,0
99,1939,Japan,30.48,140.32,volcano,0,2,0,0
100,1939,Indonesia,-7.2,109.92,volcano,0,10,0,0
101,1940,Indonesia,2.78,125.48,volcano,0,1,2,0
102,1940,Japan,34.08,139.53,volcano,0,11,20,0
103,1940,Tanzania,-2.751,35.902,volcano,0,0,0,0
104,1941,Japan,36.4,138.53,volcano,0,1,1,0
105,1941,Indonesia,-8.108,112.92,volcano,0,0,0,0
106,1943,Mexico,19.48,-102.25,volcano,0,103,0,0
107,1943,Ecuador,-0.9,-91.42,volcano,0,1,0,0
108,1944,Italy,40.821,14.426,volcano,0,27,0,0
109,1944,United States,52.82,-169.95,volcano,0,1,0,0
110,1944,Japan,42.53,140.83,volcano,0,1,0,0
111,1944,Japan,42.53,140.83,volcano,0,1,0,0
112,1944,Italy,38.789,15.213,volcano,0,0,0,0
113,1944,Indonesia,-7.2,109.92,volcano,0,117,250,0
114,1946,Japan,31.58,130.67,volcano,0,1,0,0
115,1946,Indonesia,-8.108,112.92,volcano,81,6,0,0
116,1946,Indonesia,-8.108,112.92,volcano,0,0,0,0
117,1946,Russia,48.092,153.2,volcano,0,0,0,0
118,1947,Philippines,13.257,123.685,volcano,0,0,0,0
119,1947,Japan,36.4,138.53,volcano,0,11,0,0
120,1947,Japan,36.53,139.18,volcano,0,699,0,0
121,1947,Iceland,63.98,-19.7,volcano,0,1,0,0
122,1948,Indonesia,-8.54,123.59,volcano,0,0,0,0
123,1949,Chile,-39.42,-71.93,volcano,0,54,0,0
124,1949,Colombia,2.32,-76.4,volcano,0,17,0,0
125,1949,Philippines,9.203,124.673,volcano,0,2,0,0
126,1950,Indonesia,-8.108,112.92,volcano,0,6,0,0
127,1950,Philippines,9.203,124.673,volcano,0,68,0,0
128,1950,Japan,36.4,138.53,volcano,0,1,1,0
129,1951,Papua New Guinea,-8.95,148.15,volcano,0,2942,0,0
130,1951,Nicaragua,12.98,-87.57,volcano,0,0,0,0
131,1951,Indonesia,-7.93,112.308,volcano,0,7,0,0
132,1951,Japan,35.22,139.02,volcano,0,2,0,0
133,1951,Philippines,9.203,124.673,volcano,0,500,0,0
134,1951,Solomon Is.,-9.02,157.95,volcano,0,0,0,0
135,1952,Japan,35.22,139.02,volcano,0,1,0,0
136,1952,Japan,32.1,139.85,volcano,0,0,0,0
137,1952,Japan,32.1,139.85,volcano,0,0,0,0
138,1952,Japan,32.1,139.85,volcano,0,0,0,0
139,1952,Japan,32.1,139.85,volcano,0,31,0,0
140,1952,Philippines,17.32,121.1,volcano,0,12,0,0
141,1953,Japan,32.1,139.85,volcano,0,0,0,0
142,1953,Japan,32.1,139.85,volcano,0,0,0,0
143,1953,Indonesia,-7.542,110.442,volcano,144,64,57,0
144,1953,Japan,32.88,131.1,volcano,0,6,0,0
145,1953,Papua New Guinea,-2.38,147.35,volcano,0,0,0,0
146,1953,Indonesia,-8.51,124.148,volcano,0,5,1,0
147,1953,Japan,35.22,139.02,volcano,0,10,0,0
148,1953,Japan,34.73,139.38,volcano,0,1,0,0
149,1953,New Zealand,-39.28,175.57,volcano,0,151,0,0
150,1954,Italy,38.789,15.213,volcano,0,0,0,0
151,1954,Japan,36.57,137.6,volcano,0,1,0,0
152,1954,Papua New Guinea,-3.6,144.85,volcano,0,25,0,0
153,1954,Philippines,9.203,124.673,volcano,0,2,0,0
154,1955,Chile,-40.35,-72.07,volcano,0,2,0,0
155,1955,Japan,31.58,130.67,volcano,0,0,0,0
156,1956,Russia,55.978,160.587,volcano,0,0,0,0
157,1957,United States,53.13,-168.68,volcano,0,0,0,0
158,1957,Japan,32.75,130.3,volcano,0,13,0,0
159,1957,Japan,34.73,139.38,volcano,0,1,53,0
160,1957,Japan,32.88,131.1,volcano,0,12,0,0
161,1958,Indonesia,1.358,124.858,volcano,0,1,10,0
162,1958,Japan,43.68,142.88,volcano,0,2,0,0
163,1958,Vanuatu,-16.829,168.536,volcano,0,0,0,0
164,1960,Chile,-40.59,-72.117,volcano,0,0,0,0
165,1961,Chile,-41.326,-72.614,volcano,0,0,0,0
166,1961,Japan,36.57,137.6,volcano,0,1,0,0
167,1961,Japan,36.4,138.53,volcano,0,1,0,0
168,1961,Indonesia,-7.542,110.442,volcano,0,6,6,0
169,1961,Japan,43.68,142.88,volcano,0,2,0,0
170,1962,Japan,43.42,142.68,volcano,0,5,11,0
171,1962,Indonesia,-7.542,110.442,volcano,0,2,0,0
172,1962,Indonesia,0.8,127.325,volcano,0,5,5,0
173,1963,Costa Rica,9.979,-83.852,volcano,0,15,0,0
174,1963,Indonesia,-8.342,115.508,volcano,0,1028,624,0
175,1963,Indonesia,-8.108,112.92,volcano,0,1,0,0
176,1963,Indonesia,-8.342,115.508,volcano,0,120,0,0
177,1963,Chile,-39.42,-71.93,volcano,0,0,0,0
178,1963,Indonesia,-8.242,115.375,volcano,0,2,0,0
179,1963,Guatemala,14.473,-90.88,volcano,0,7,0,0
180,1963,Costa Rica,9.979,-83.852,volcano,400,40,0,0
181,1964,Indonesia,-8.32,121.708,volcano,0,1,3,0
182,1964,Chile,-39.42,-71.93,volcano,0,25,0,0
183,1964,Indonesia,-7.2,109.92,volcano,0,114,0,0
184,1965,Philippines,14.002,120.993,volcano,0,355,0,0
185,1965,Netherlands,12.3,-61.63,volcano,0,0,0,0
186,1966,Solomon Is.,-10.38,165.8,volcano,0,0,0,0
187,1966,Indonesia,-7.93,112.308,volcano,0,215,86,0
188,1966,Indonesia,3.67,125.5,volcano,0,39,1000,0
189,1966,Tanzania,-2.751,35.902,volcano,0,0,0,0
190,1967,Tanzania,-2.751,35.902,volcano,0,0,0,0
191,1967,Indonesia,-8.108,112.92,volcano,0,3,0,0
192,1967,Antarctica,-62.97,-60.65,volcano,0,0,0,0
193,1968,Philippines,13.257,123.685,volcano,0,6,0,0
194,1968,Costa Rica,10.463,-84.703,volcano,0,80,0,0
195,1969,Indonesia,-7.542,110.442,volcano,0,3,0,0
196,1969,Indonesia,-8.88,121.63,volcano,287,2,10,0
197,1969,Philippines,19.077,122.202,volcano,0,3,0,0
198,1969,Japan,38.73,140.73,volcano,0,1,0,0
199,1970,Italy,40.827,14.139,volcano,0,3,0,0
200,1970,Iceland,63.98,-19.7,volcano,0,0,0,0
201,1971,Chile,-45.9,-72.97,volcano,0,3,0,0
202,1971,Solomon Is.,-10.38,165.8,volcano,0,0,0,0
203,1971,Guatemala,14.473,-90.88,volcano,0,10,0,0
204,1971,Spain,28.58,-17.83,volcano,0,0,0,0
205,1971,Chile,-39.42,-71.93,volcano,0,15,0,0
206,1971,Japan,36.62,138.55,volcano,0,6,0,0
207,1972,Reunion,-21.229,55.713,volcano,0,3,0,0
208,1972,Japan,35.22,139.02,volcano,0,2,0,0
209,1972,Papua New Guinea,-5.52,148.121,volcano,0,0,0,0
210,1973,Iceland,63.43,-20.28,volcano,0,1,0,0
211,1973,Indonesia,-8.32,121.708,volcano,0,0,0,0
212,1973,Chile,-45.9,-72.97,volcano,0,2,0,0
213,1973,Indonesia,-8.54,123.59,volcano,0,2,0,0
214,1974,Indonesia,2.78,125.48,volcano,0,4,0,0
215,1974,Japan,31.58,130.67,volcano,0,3,0,0
216,1974,Japan,36.92,138.03,volcano,0,3,0,0
217,1974,Japan,31.58,130.67,volcano,0,5,0,0
218,1974,Guatemala,14.473,-90.88,volcano,0,0,0,0
219,1974,Papua New Guinea,-5.52,148.121,volcano,0,0,0,0
220,1974,Indonesia,-7.542,110.442,volcano,6,9,0,0
221,1975,Indonesia,-0.381,100.473,volcano,0,80,0,0
222,1975,Costa Rica,10.463,-84.703,volcano,0,2,0,0
223,1975,United States,19.425,-155.292,volcano,0,2,0,4
224,1976,Japan,36.62,138.55,volcano,0,3,0,0
225,1976,Ecuador,-2.03,-78.33,volcano,0,2,4,0
226,1976,Indonesia,-8.108,112.92,volcano,0,119,0,0
227,1976,Indonesia,2.78,125.48,volcano,24,1,1,0
228,1976,Indonesia,-7.542,110.442,volcano,0,29,0,0
229,1977,"Congo, DRC",-1.52,29.25,volcano,0,0,0,0
230,1977,Comoros,-11.75,43.38,volcano,0,0,0,0
231,1977,Iceland,65.73,-16.78,volcano,0,0,0,0
232,1977,Russia,56.057,160.638,volcano,0,1,0,0
233,1977,Japan,42.53,140.83,volcano,0,3,0,0
234,1978,Japan,42.53,140.83,volcano,0,3,2,0
235,1978,Philippines,12.77,124.05,volcano,0,0,0,0
236,1978,Guatemala,14.756,-91.552,volcano,0,1,0,0
237,1978,Indonesia,-8.108,112.92,volcano,0,12,0,0
238,1978,Indonesia,-6.77,107.6,volcano,0,3,0,0
239,1979,Indonesia,-7.2,109.92,volcano,0,149,0,0
240,1979,Papua New Guinea,-4.649,145.964,volcano,0,2,0,0
241,1979,St. Vincent & the Grenadines,13.33,-61.18,volcano,0,2,0,0
242,1979,Italy,37.734,15.004,volcano,0,9,23,0
243,1979,Indonesia,-8.54,123.59,volcano,0,1239,32,0
244,1979,Japan,32.88,131.1,volcano,0,3,11,0
245,1980,United States,46.2,-122.18,volcano,0,61,0,2000
246,1980,Iceland,63.98,-19.7,volcano,0,0,0,0
247,1980,United States,45.374,-121.694,volcano,0,1,0,0
248,1981,Italy,37.734,15.004,volcano,0,0,0,0
249,1981,Indonesia,-8.108,112.92,volcano,0,1,0,0
250,1981,Russia,50.858,155.55,volcano,0,0,0,0
